DV,A,B,C,S,I
526,2,1,2,23,5
430,1,1,1,23,94
469,2,1,1,23,40
436,2,2,1,23,77
445,2,1,2,23,18
356,1,1,2,23,11
352,1,1,2,23,15
430,1,2,1,23,106
407,1,1,1,23,4
511,1,1,2,23,68
534,1,1,1,23,52
504,2,2,2,23,27
512,2,1,2,23,105
477,1,2,2,23,9
441,1,1,1,23,33
587,2,1,2,23,22
550,2,2,2,23,7
462,2,1,2,23,39
1253,2,1,2,3,82
465,1,1,2,3,37
662,1,1,1,3,32
670,1,2,1,3,14
492,2,1,2,3,12
734,2,1,1,3,74
1050,2,2,2,3,35
1907,1,1,2,3,48
963,2,2,1,3,28
396,1,1,2,3,11
647,2,2,2,3,58
529,2,1,1,3,70
535,2,1,2,3,3
528,1,2,2,3,43
537,2,1,1,3,29
619,2,2,2,3,75
585,2,1,1,3,1
601,2,2,2,3,2
639,1,1,2,3,68
586,1,1,1,3,66
890,1,2,1,3,115
601,2,2,2,3,47
604,1,2,1,3,65
579,1,1,1,3,33
534,2,1,2,3,114
509,2,2,1,3,91
535,1,2,2,3,20
629,2,2,2,3,64
711,2,1,2,3,22
932,2,1,1,3,19
578,2,2,1,3,16
567,2,1,2,3,109
552,2,2,2,3,27
504,1,1,2,3,21
730,1,2,2,3,85
370,1,1,2,3,44
578,1,2,1,3,90
376,1,1,1,3,4
487,2,2,2,3,100
482,2,1,2,3,31
442,2,1,1,3,46
372,2,2,1,3,36
1170,2,1,2,3,63
441,2,2,2,3,38
589,1,2,2,3,73
440,1,1,1,3,50
523,1,1,2,3,99
580,1,1,2,3,93
531,2,1,2,3,62
1851,2,1,2,3,105
442,1,1,2,3,10
491,2,1,1,3,40
483,1,1,2,3,15
506,2,2,1,3,80
515,2,1,2,3,111
404,2,1,1,3,79
1224,1,2,2,3,97
569,1,1,1,3,52
694,2,2,1,3,88
535,1,1,2,3,89
621,1,2,2,3,67
558,1,2,1,3,101
487,2,2,1,3,77
404,1,1,1,3,92
472,2,2,2,3,7
541,1,1,1,3,87
460,2,1,2,3,112
582,2,2,2,3,98
488,1,2,2,3,76
553,1,1,2,3,57
640,1,2,1,3,86
525,1,1,1,3,34
608,2,1,2,3,39
1190,2,1,1,3,81
1550,1,2,1,3,61
782,2,2,2,3,13
517,1,2,1,3,23
528,2,2,2,3,69
755,1,2,1,3,106
522,1,1,1,3,117
544,1,2,1,3,30
629,2,2,2,3,104
959,1,2,2,3,59
826,2,2,1,3,8
477,2,1,1,3,42
431,1,2,1,3,45
376,1,1,1,3,108
502,2,2,1,3,116
710,2,1,2,3,18
502,1,2,2,3,9
532,1,2,2,3,51
448,1,1,2,3,113
547,1,2,2,3,25
430,1,2,1,3,103
589,2,2,1,3,95
411,2,1,1,3,118
478,1,1,1,3,94
579,1,2,1,3,110
465,1,1,1,3,107
521,2,1,2,3,5
558,1,1,2,3,56
474,2,1,1,3,96
450,1,1,1,3,60
576,2,2,1,3,78
401,2,2,2,3,102
671,1,2,1,31,86
620,2,1,2,31,105
603,1,2,1,31,115
849,1,2,2,31,67
708,2,1,2,31,63
653,2,1,2,31,82
563,1,2,1,31,14
492,2,1,1,31,53
1301,2,1,1,31,6
564,2,1,2,31,62
709,2,2,1,31,16
1071,2,1,1,31,40
840,2,2,1,31,80
826,2,2,2,31,35
615,1,2,1,31,90
894,1,1,1,31,24
495,1,2,2,31,76
694,1,2,1,31,65
552,1,1,2,31,37
588,2,1,1,31,81
548,2,1,2,31,22
548,2,2,2,31,38
469,1,1,1,31,92
530,1,1,1,31,66
666,1,2,1,31,110
539,1,1,2,31,44
928,1,1,2,31,113
526,2,1,2,31,12
572,2,2,1,31,36
396,1,1,2,31,10
665,1,1,2,31,48
687,1,2,2,31,9
785,1,2,2,31,55
419,1,1,1,31,60
901,2,2,2,31,100
1032,2,1,1,31,1
559,1,1,1,31,32
580,2,2,1,31,77
873,2,1,2,31,5
537,1,1,1,31,87
599,2,1,2,31,114
749,2,2,2,31,27
548,1,2,1,31,30
911,2,2,1,31,95
672,2,2,2,31,102
576,2,1,2,31,39
891,1,2,2,31,17
463,1,1,2,31,57
638,1,1,2,31,99
530,1,2,2,31,43
779,1,1,1,31,108
1434,2,2,1,31,49
997,2,1,2,31,111
577,1,1,1,31,33
902,2,1,2,31,109
565,1,1,1,31,117
1162,2,2,1,31,84
593,1,1,1,31,50
643,1,1,2,31,93
574,2,1,1,31,96
840,1,1,2,31,15
643,2,2,2,31,13
646,2,1,1,31,29
596,2,1,1,31,79
918,2,1,2,31,18
688,1,1,1,31,4
746,1,2,2,31,51
757,2,1,1,31,118
764,1,2,2,31,20
752,2,2,2,31,58
869,2,2,2,31,75
1128,1,1,2,31,83
771,1,2,1,31,23
1155,1,2,2,31,85
535,1,2,2,31,41
541,1,2,2,31,97
585,2,1,2,31,3
747,2,1,1,31,71
865,1,1,2,31,56
505,1,1,2,31,11
589,2,2,1,31,116
622,2,2,1,31,88
591,1,2,1,31,101
493,2,1,1,31,46
538,2,1,1,31,74
448,2,2,2,31,69
501,1,2,1,31,54
436,2,2,2,31,98
461,1,1,2,31,21
996,1,2,2,31,59
1478,2,2,2,31,104
600,1,2,1,31,103
571,2,1,1,31,19
459,2,2,1,31,8
844,1,1,1,31,94
919,1,2,2,31,25
785,1,1,2,31,68
681,1,1,1,31,107
546,2,2,1,31,91
565,2,2,2,31,2
680,2,2,2,31,47
1031,2,2,1,31,28
530,1,1,1,31,34
549,2,1,2,31,112
795,2,2,2,31,7
518,2,2,1,31,78
517,1,2,1,31,45
688,2,1,1,31,70
596,2,1,2,31,31
627,1,1,2,31,89
791,2,2,2,31,64
531,1,2,1,31,106
598,2,1,2,32,31
488,2,1,2,32,3
582,2,1,1,32,40
425,1,2,1,32,14
366,1,1,2,32,68
362,2,2,2,32,38
375,1,2,1,32,101
446,2,2,1,32,78
407,2,2,1,32,91
399,1,2,1,32,26
351,2,1,1,32,70
359,2,1,2,32,12
338,1,1,2,32,93
370,2,1,2,32,109
298,1,1,1,32,4
378,2,1,2,32,111
368,2,2,1,32,116
705,2,2,1,32,95
376,1,1,1,32,50
528,1,2,2,32,17
490,2,2,2,32,27
528,2,2,1,32,80
434,1,1,1,32,107
611,2,2,1,32,28
548,2,1,1,32,46
485,1,2,2,32,9
492,2,1,1,32,74
502,1,2,2,32,73
430,1,1,1,32,66
366,1,1,1,32,94
434,2,2,1,32,84
316,1,1,1,32,60
398,2,1,2,32,105
395,1,2,1,32,103
421,1,2,2,32,76
334,1,1,2,32,56
382,1,1,2,32,48
570,1,2,2,32,67
356,1,1,2,32,21
419,2,2,1,32,77
338,2,1,2,32,18
303,1,1,2,32,37
312,2,1,1,32,118
326,1,1,2,32,11
384,2,1,1,32,42
371,2,2,2,32,98
482,2,1,2,32,62
412,2,2,2,32,2
386,1,2,1,32,86
401,1,2,1,32,54
441,1,1,2,32,113
453,2,1,2,32,39
379,2,1,1,32,81
424,1,2,1,32,45
394,2,2,1,32,16
424,2,1,2,32,63
443,1,2,2,32,59
340,2,1,1,32,19
375,1,1,1,32,92
366,1,1,1,32,87
537,2,1,1,32,79
400,2,1,2,32,112
346,2,1,2,32,114
474,1,1,1,32,117
446,2,1,1,32,1
404,1,1,2,32,89
346,1,2,1,32,30
340,1,1,1,32,34
360,1,1,2,32,10
454,1,2,1,32,23
489,2,2,2,32,58
378,2,2,2,32,102
376,1,2,1,32,106
427,1,2,2,32,25
546,2,1,1,32,96
567,2,2,2,32,104
595,1,2,2,32,55
486,1,2,2,32,85
410,2,2,1,32,36
289,1,1,1,32,108
350,1,1,2,32,99
402,1,2,2,32,20
388,2,2,2,32,100
380,2,2,1,32,8
407,2,2,2,32,13
510,2,1,2,32,22
303,1,1,1,32,24
524,2,2,2,32,75
343,1,1,2,32,57
409,1,1,1,32,52
448,2,2,1,32,88
351,1,2,2,32,51
456,1,2,1,32,110
365,1,2,2,32,97
429,1,2,2,32,43
480,1,1,1,32,32
407,2,1,1,32,29
410,2,2,2,32,69
406,1,1,2,32,44
504,2,2,2,32,7
456,1,2,2,32,41
393,1,2,1,32,65
417,2,1,1,32,71
467,2,2,2,32,35
377,1,1,1,32,33
335,2,2,2,32,64
614,1,2,2,6,17
612,2,2,1,6,72
421,1,1,1,6,92
616,2,1,1,6,19
549,1,2,2,6,97
453,1,2,2,6,43
544,2,1,2,6,105
422,1,1,2,6,48
463,2,1,1,6,29
343,1,1,2,6,11
377,1,1,1,6,107
496,1,2,2,6,55
617,2,1,1,6,74
500,2,1,1,6,1
601,2,2,1,6,16
451,1,1,1,6,4
508,2,2,2,6,2
606,1,1,2,6,83
584,1,2,1,6,65
395,1,1,2,6,15
365,1,1,1,6,34
544,2,1,2,6,82
618,2,1,2,6,18
458,2,2,1,6,77
598,1,2,2,6,67
654,1,2,2,6,85
675,2,1,1,6,6
535,1,1,1,6,52
524,1,2,1,6,86
522,2,2,1,6,116
436,2,1,1,6,70
457,2,1,2,6,3
573,2,1,1,6,42
779,1,2,1,6,26
502,2,1,1,6,53
883,2,1,2,6,109
523,2,2,2,6,7
